Jäällä [MASK] avaa aina hauskoja ja erikoisia näkökulmia kaupunkiin .	kävely
Minun [MASK] puhuu tuollaisia !	tyttäreni
[MASK] opiskeli lähes kaikkea mahdollista .	Mikhailov
[MASK] lupasi paljastaa minulle yhtä sun toista mielenkiintoista .	Se
[MASK] lämmittää aina , samoin jonkin kivan jakaminen .	Huolenpitäminen
[MASK] ei pyri mihinkään erikoiseen .	Se
kaupan [MASK] keskittävät kuljetustoimintonsa erilliseen yhtiöön ja alkavat markkinoida kuljetuspalveluja kuin ammattimaiset kuorma-autonyrittäjät ikään .	ketjut
[MASK] sellaisesta on jo .	Esimerkkejä
[MASK] Lundell sanoo rakentaneensa herrakurssin niin , että se tarjoaa perustiedot keittiötaidoista sellaisellekin , joka ei ole koskaan rohjennut tarttua kapustan varteen .	Christina
Polttopullon postiluukusta [MASK] olisi vielä ymmärtänyt , mutta ei tämmöistä .	Hanhivaara
Maksujen [MASK] seisottaa valmista tavaraa verstaalla , entisessä perunavarastossa , eikä semmoinen tietysti pitkän päälle kannata .	viivästyminen
Toisaalta vahvan ja keskioluen keskinäisessä kilpailussa [MASK] on viime vuosina lisännyt osuuttaan	jälkimmäinen
eikä kaukalon sulava [MASK] haittaa .	muotoilukaan
[MASK] äänestivät vuoden moottoriurheilijaksi odotetusti Tommi Mäkisen .	katsojat
Laskeva [MASK] ei suinkaan lisää kaikkien lainojen suosiota	korkotaso
Nuorin [MASK] tuli muita myöhemmin .	poika
Missä [MASK] asuisit kaikkein mieluiten ?	sinä
[MASK] sen ymmärtää	Tomppelimpikin
Laman tultua [MASK] romahti Suomessa , mutta on taas nousussa .	se
[MASK] ojentaa minullekin kuin kyseessä olisi hienompikin tervetuliaismalja .	Se
Niinpä [MASK] on yhä sellaisessa kunnossa , että kelpaa rohkaisevaksi malliksi nuoremmilleen .	hän
[MASK] puhui mieluummin voitoistaan kuin tappioistaan .	hän
On täällä vieläkin pienempiä [MASK] käyny ku sinä .	lapsia
[MASK] on ainakin kolme : elämää suuremmat vaikuttajat , kaikkia muita suuremmat toimittajat ja kaiken uskovat lukijat .	Syitä
Nuorin [MASK] tuli muita myöhemmin --	poika
Seuraava [MASK] voi tulla pikemmin kuin arvaammekaan .	kerta
[MASK] jäi saksalaisten jalkoihin paljon pahemmin kuin olisi uskonut .	Jugoslavia
[MASK] jäi jalkapallon MM-kisoissa saksalaisten jalkoihin paljon pahemmin kuin olisi uskonut .	Jugoslavia
[MASK] ei enää halua luvata kenellekään enempää kuin yrittää parhaansa .	Barrichello
[MASK] nimesi hänet pubissa Euroopan rumimmaksi mieheksi , joka ei ymmärrä jääkiekosta senkään vertaa kuin KuPSin kannattaja jalkapallosta .	Joku
[MASK] viihtyikin Pariisissa paremmin kuin Berliinissä .	hän
[MASK] viihtyikin Pariisissa Berliiniä paremmin .	hän
suomalainenkin [MASK] antaa naisille miehiä enemmän mahdollisuuksia pukeutua yksilöllisesti .	pukeutumiskulttuuri
Vuosien myötä [MASK] on kasvanut näiden minua enemmän koulutusta saaneiden keskellä .	itseluottamukseni
Jokainen [MASK] oli myynyt edeltäjäänsä hieman paremmin .	levy
[MASK] valvoivat näin myöhään tyttöjä selvästi yleisemmin .	Pojat
Puhdasoppinen [MASK] naureskelee koko keinotekoiselle uppopallolle , joka keksittiin vasta paljon vesipalloa myöhemmin .	vesipalloilija
[MASK] purevat uhria kymmenen kertaa todennäköisemmin kuin eurooppalaiset serkkunsa .	mehiläiset
tuskin [MASK] sillä sen kummempaa tarkoitti .	se
Eipä [MASK] tuon paremmin olisi voinut mennäkään .	se
[MASK] ei ole sen paremmin viranomaisilla kuin tutkijoilla tai sosiaalityöntekijöillä .	Tietoa
Yhä huonokuntoisempia [MASK] tuli orpokotiin .	lapsia
[MASK] Donike teki töitä yhä tarkempien ja tarkempien testien puolesta .	Manfred
Onneksi [MASK] on vielä kaukana	talvi
Onneksi [MASK] on yhä kaukana	talvi
[MASK] tekee hänestä monia muita vähemmän vastustetun puheenjohtajaehdokkaan .	Se
loistelias [MASK] töpsähti jaloilleen vähemmän miehekkäästi .	ensirakastaja
Alueen pohjoinen [MASK] tuo mukanaan kasvulle edullisia ja vähemmän edullisia vuosia .	sijainti
Tarantinon [MASK] on alkanut enemmän kuin lupaavasti .	ura
Vaikka perheiden koko on jatkuvasti pienentynyt , valtaosa [MASK] ( 95 prosenttia ) tapahtuu kehitysmaissa .	väestönkasvusta
Omalla paikkakunnalla palvelua tarjoavat [MASK] selviävät parhaiten puhelinluettelon keltaisilta sivuilta .	yritykset
Pystymme ainoastaan vähentämään niiden tuhoa , [MASK] korostaa .	Petersen
Hakukiekolla [MASK] säätyy nauhaa katsottaessa lähes portaattomasti hidastuksen ja nopeimman pikakatselun välillä .	toistonopeus
[MASK] ei vähennä joulun merkitystä .	Lama
Vanhin keskuudessamme elävä [MASK] muistaa parhaiten sotajoulut , jolloin oli kaikkein vähiten turvaa ja tavaraa , mutta eniten uskoa ja läheisyyttä .	polvi
[MASK] tulee vastaan mitä kummallisimmissa paikoissa .	Se
Asian [MASK] jatkuu mitä todennäköisemmin Helsingin hovioikeudessa	käsittely
Toisinaan [MASK] saattaa hyväksyä mitä ihmeellisempiä pulloja	kone
Ensimmäiset 30 metriä [MASK] selvitti koko finaalijoukosta selvästi hitaimmin ( 3,95 ) .	Lewis
[MASK] analysoi Litmasta kolmikosta kaikkein tarkimmin .	ABC-lehti
Turussa asuva 22-vuotias [MASK] on Unirecords-yhtiön tähdistä tällä hetkellä kirkkaimmassa nousussa .	Janne
Jäsenille tilitetyistä korvauksista [MASK] ovat muutaman kympin vuodessa .	pienimmät
Tuoreemmista valkokankaan sankareista [MASK] arvostavat eniten Mel Gibsonia .	jenkit
[MASK] , 29 , Julianan ja Bernhardin neljästä tyttärestä nuorin , avioitui viime vuonna kuubalaisen Jorge Guillermon kanssa .	Christina
[MASK] ovat pahemmassa vaarassa kuin muut ekosysteemit .	Metsät
Mitä Lieksan [MASK] puuhailee iltaisin ?	nuoriso
[MASK] ovat olleet vahvasti juovuksissa .	syytetyt
[MASK] lähti irti .	Nappi
[MASK] on irti .	Nappi
[MASK] on rikki .	Kone
[MASK] meni rikki .	Kone
[MASK] olen takaisin viiteen mennssä .	Minä
[MASK] tulen takaisin viiteen mennssä .	Minä
[MASK] lähti pois .	Hän
[MASK] nousi aina kesäkuussa .	mieliala
[MASK] ei ikinä tulisi takaisin .	Hän
[MASK] käytti ulkopuolisia esitelmöitsijöitä , joiden tekstit oli tarkastettava etukäteen .	Radio
oikea [MASK] haukkasi lumikerrokseen ja samassa auton keula alkoi rahista tien kaidetta vasten	etupyörä
[MASK] näytti äkkiä pelästyneeltä .	Panu
[MASK] täydentävät toinen toisiaan ja panevat samalla lukijan omat ajatukset miettimään ja punnitsemaan luettua .	Kirjat
[MASK] kohtaavat fyysisesti , mutta henkisesti he eivät olekaan yhtaikaa läsnä .	Ihmiset
Suuri osa [MASK] syö kalaa liian harvoin .	suomalaisista
[MASK] ei kauan viihdy ammattilaisena .	Bajul
Painettu [MASK] säilyy pitkään rinnakkain digitaalisten julkaisumuotojen kanssa .	kirja
[MASK] pysyy hirven turkissa kuukausikaupalla	Hirvikärpänen
Nähtävästi osa luterilaisesta [MASK] olikin Sakkolassa vain käymäseltään ja palasi takaisin entisille asuinpaikoilleen .	väestöstä
[MASK] potkaisi palloa suutuksissaan .	Hän
[MASK] istui nurkassa murheissaan .	Hän
[MASK] istui nurkassa pökerryksissä .	Hän
[MASK] merkitsi numerot taululle perätysten .	Lapsi
[MASK] meni vaivihkaa eteiseen , avasi oven hiljaa .	Hän
Muslimityttö [MASK] ja serbipoika Bosko makaavat kuolleina sylikkäin Sarajevon ei-kenenkään maalla .	Admira
[MASK] ( kok ) istuu nokatusten jokaisen ministerin kanssa erikseen .	Viinanen
[MASK] on toistaiseksi täysin seis .	Opetus
[MASK] oli suutuksissa .	Lapsi
[MASK] oli myrtsinä .	Lapsi
Tytön [MASK] oli kadoksissa .	kirja
[MASK] saapui väsyksissä kotiin .	Äiti
[MASK] saapui väsyneenä kotiin .	Äiti
[MASK] istui selkä suorana , mutta suu mutrullaan .	Hän
[MASK] kulki aivan kumarassa .	Mies
[MASK] kulki aivan kumarassa asennossa .	Mies
[MASK] oli täysin lamassa .	Hän
[MASK] oli täysin lamaantuneessa mielentilassa .	Hän
[MASK] Koo istuu puolipökerryksissä tantereella .	Keijo
Vauvan saanut [MASK] oli huolissaan , kun hänen mahansa oli turvoksissa vielä synnytyksen jälkeenkin .	kiinalaisnainen
[MASK] oli istuskellut uima-altaalla uimahoususillaan .	Tapani
[MASK] on yhä ihanimmillaan .	Kesä
[MASK] pysytteli vapauduttuaan ilmeisesti kuivilla puolisen vuotta .	Jarra
[MASK] on ollut vireillä viime syksystä .	Keskiolutasia
[MASK] katosivat jäljettömiin Lappeenrannan vankileiriltä .	Punavangit
[MASK] tuntevat sympatiaa alakynteen jäänyttä kohtaan .	Ihmiset
[MASK] lyö sarjanousijan tuuperruksiin .	Shearer
Pitkäksi aikaa raolleen jätetyt [MASK] lisäävät turhaan energiankulutusta .	ikkunat
[MASK] puhuu paljon puhelimessa .	Hän
Ilmatieteen laitoksen mukaan [MASK] satoi runsaimmin päivällä .	lunta
Lähinnä musiikinopiskelijoista koostuva Sibelius-Akatemian [MASK] parantaa sikana juoksuaan .	orkesteri
[MASK] kärsi jo muutenkin tarpeeksi .	Hän
[MASK] oli paikalla ihan mahdottomasti .	Väkeä
[MASK] tuottaa massoittain eritasoista tietoa .	Koneisto
[MASK] , fysioterapeutit ja muut asiantuntijat ovat kirjoittaneet hyllykaupalla kirjoja vammojen ennaltaehkäisystä ja hoidosta .	Ortopedit
samanlaisia [MASK] varmaan kertyi kasapäin suurvaltojen päämiesten pöydille .	raportteja
[MASK] uuden mallin yhteydessä ei liiemmälti ole .	Valinnanvaraa
[MASK] oli puolillaan iloisia ihmisiä .	Bussi
Yhdistetty [MASK] , varasto ja näyttelytila on kattoon asti täynnä saunanosia ja porealtaita .	toimisto
[MASK] on täynnä .	Vatsani
suomalaiset [MASK] keräsivät kaikkiaan 31 kansainvälistä palkintoa .	elokuvat
[MASK] saattaa osin pitää paikkansa	väite
Nyt [MASK] jakaantuvat likimain tasan kannattajin ja vastustajiin .	naiset
eräiltä osin [MASK] kaipaisi hiomista	auto
[MASK] taittui hieman alle minuuttiin .	Varttimaili
Nopeusmittarin [MASK] osoitti hieman yli seitsemääkymppiä .	viisari
[MASK] käveli hyvää vauhtia eteenpäin , miltei juoksi , sillä hän halusi sitä asiaa pakoon .	Hän
Hänen [MASK] oli korkeimmillaan virkaanastumisen jälkeen ja alhaisimmillaan gallupkannatus oli kesällä 1993 .	kannatuksensa
Rakennusvaiheessa kaivoksen [MASK] työllistää enimmillään noin 800 henkeä .	avaaminen
Aineellisia [MASK] syntyi vähintään kymppitonnin edestä .	vahinkoja
[MASK] kokoontuu ainakin kahdesti vuodessa .	Eurooppa-neuvosto
Teiden [MASK] on minimissään .	kulutus
[MASK] näytti optimistisesti melko tarkalleen neljääkymppiä .	nopeusmittari
Rakennusteknisesti [MASK] on täsmälleen päinvastoin .	asia
[MASK] on sujunut jokseenkin täsmälleen odotusten mukaisesti .	alkuvuosi
ohjelmaa ei [MASK] ihan tarkalleen vielä iltapäivällä tiennyt .	Kuusisto
Koiviston suhteellisuuden [MASK] ei aivan tismalleen toiminut .	taju
Itse [MASK] pysähdyksestä pysähdykseen vie melko tarkkaan puoli tuntia .	matka
[MASK] tuntui melko hurjalta .	Ajatus
SK:n [MASK] suhtautuivat sangen kriittisesti medioihin .	lukijat
[MASK] olen todella pahoillani .	Minä
varsin [MASK] muuttavat koulutustavoitettaan .	monet
Saatanan ämmä , [MASK] sihahti	Mallu
[MASK] raapii kaikki helvetin kusikulmat .	jepet
[MASK] täytyy itte vahtia noita saatanan osakkeita	meiän
[MASK] siis voin lihoa ja aika komeasti voinkin .	minäkin
[MASK] on lisännyt kiinnostusta , vieraita käy verrattain paljon .	Julkisuus
[MASK] sopi mieheen jokseenkin täydellisesti .	Kuvaus
Kohtuullisen mutkaton [MASK] ei jäänyt ainoaksi yhteiseksi .	aamiainen
Eikö [MASK] merkitse varsin arvostettujen työpaikkojen ja ansiotulojen saamista ?	se
[MASK] meni hirveän nopeasti .	Aika
Elsan [MASK] katsoo minua kamalan ylhäältä .	äiti
Älyttömän hyvin se [MASK] toimi .	homma
Italian [MASK] heitti 12 kolmosestaan hämmästyttävästi yhdeksän koriin .	ammattilainen
Ihmeellisesti [MASK] Seles onnistui kuitenkin kokoamaan itsensä .	Monica
Juhlan [MASK] ja haluttu palvelu vaikuttavat luonnollisesti hintaan .	laatu
[MASK] kuuntelen sit niitä mun omassa huoneessa , enkä varmana päästä siskoa sinne sekoileen .	Mä
[MASK] se otit sen viimesen palan ?	Sinäkös
[MASK] matkaa avaruuden pimeydessä lähes 45 kilometrin tuntivauhdilla , mikä avaruuden etäisyyksiin nähden on matelua , mutta täällä Maan lähellä varsin kunnioitettava nopeus .	Uranuurtajaluotain
[MASK] en voinut sietää hikisen tukan painoa harteillani ja siksi olin sitonut sen nutturalle .	Minä
Vaikka Jan sanoi matkalla lentokentällä , että hän oli antanut minulle anteeksi , ei [MASK] ihan niin ollut .	se
[MASK] ei näytä CV-sivua ihan siten , kuin olisin halunnut .	Lynx-selain
Kuitenkin [MASK] suhtautui minuun niin kuin pitikin .	se
[MASK] oli tapahtunut ?	Mitä
[MASK] ja onni liikkuivat aivan muualla .	ilo
Irjan [MASK] oli päästänyt ääntä , jollaista Julia ei koskaan muulloin kuullut	suu
Nyt [MASK] on jo hiukan toisaalla kuin 90-luvun ankarina alkuvuosina .	painopiste
Melko nopeasti [MASK] palasi , ihan tajuihinsa .	hän
[MASK] oli tuolloin taloudellisessa kriisissä , mutta nyt menee kohtuullisen hyvin .	Yritys
Tampereen [MASK] katsoi opiskelijan toimineen ansiotarkoituksessa , järjestelmällisesti ja tahallaan .	käräjäoikeus
Hyvin monilla runsas [MASK] vaikuttaa tosin myös verenpainetta kohottavasti .	suola
Lisäksi [MASK] sisältää kouluihastus-henkeen sopivasti ainakin kaikille tytöille tutun rakkausprosenttilaskurin .	penaali
[MASK] laskeutui aikataulun mukaisesti kello 9.15 .	kone
kova [MASK] pölläytti lavan puolilleen hiekkaa .	tuuli
Joka päivä [MASK] ahmii kaksi kertaa mahansa täyteen lohta .	se
Viikonlopun [MASK] on merkkihenkilöitä tulvillaan .	ohjelma
[MASK] joi sentään janoonsa ison olutlasin puolilleen .	Mies
[MASK] " Pitäisikö minun laihtua ? " veti Porthanian suuren salin täyteen .	Kysymys
[MASK] tunnustaa olevansa hulluna leluihin .	Pekkarinen
[MASK] on lätkässä prätkiin oikein kunnolla .	Alpo
[MASK] olen kotoisin	minä
Ehkä [MASK] oli kotoisin suuren muurin takaa ?	mies
Syntyjään [MASK] on Kiinan Shanghaista .	hän
[MASK] täytyy olla perillä keskiviikkona	Hakemusten
[MASK] ovat selvillä maanantaihin mennessä	Voittajat
[MASK] on asiasta paremmin perillä .	Hintze
[MASK] pääsi suhteesta selville .	Pauliina
kuinkahan [MASK] nyt oikein pärjää niin kaukana kotoa .	se
[MASK] on täysin ulkona nykyhetkestä .	Se
[MASK] haluaa ulos synnytyssalista	Kätilö
[MASK] on eksyksissä itsestään .	Hän
[MASK] pelasi lätkää 15-vuotiaaksi , jolloin yhtäkkiä kasvoi ulos toppauksistaan .	Herbert
[MASK] on myös harmissaan traktorinrengaspulasta .	Hamza
[MASK] meni varmaan ymmälleen ´ erikoisesta ´ html-slangistani .	Palvelin
Teemun [MASK] olivat menneet hieman sekaisin siirtohälyn takia .	päivämäärät
[MASK] sanoi metsänomistajien olevan veromuutosten vuoksi ymmällään .	Hakkarainen
paikoin [MASK] on hieman ymmällään , mitä kaikki oikein tarkoittaa .	katselija
[MASK] olisi kauhuissaan jos näkisi miten istut , jalat levällään ja kädet niskan takana .	Hän
Harmissaan siitä että asiat epäonnistuivat , [MASK] lähti kotiin	hän
Mistä [MASK] oli oppinut olemaan noin ilmiselvästi mies ?	tuo
[MASK] oli vähän kallellaan arvon rouvan suuntaan .	Kuurna
[MASK] mainostaa hiukan liikaa kasvissyöntiä .	Hän
[MASK] oli kovasti innoissaan .	Tyttö
Ei [MASK] oo enää paljonkaan vinossa	se
Nuoret , kokemattomat yhden asian [MASK] eivät ymmärrä asioita tarpeeksi laajasti .	ihmiset
[MASK] on elänyt täysin eristyksissä muista ihmisistä .	hän
Vasta viidestoista [MASK] läsähti ihan jetsulleen oikein .	kakku
Kuinka hyvin [MASK] olivatkaan ennen .	asiat
Miten aikaisin [MASK] pitäisi saada maidot meijeristä myytäviksi ?	kaupan
aseman [MASK] näyttää minuuttia liian vähän .	kello
[MASK] Williams vanhenee neljä kertaa liian nopeasti Coppolan leffassa Jack	Robin
[MASK] Savolainen oli vähemmän humalassa ja Esko Puustinen vielä vähemmän .	Eelis
työn [MASK] näkyvät usein vasta paljon myöhemmin .	tulokset
Keski-iässä olevien miesten [MASK] jakautuu yhä jyrkemmin kahteen luokkaan .	joukko
miksi nuori [MASK] ei ollut 20 metriä kauempana , että olisin ehtinyt ajaa pois tieltä .	tyttö
[MASK] on paljon , poskettoman paljon .	Hommaa
[MASK] on ollut ihanan rempallaan .	käytäntö
[MASK] on ikävästi kallellaan .	Huone
[MASK] oli hauskasti pörröllään .	tukka
[MASK] oli puhunutkin niin pahaaennustavan kerskailevasti jostakin poika kullasta .	Hän
Ihan näin onnellisesti [MASK] ei ole !	asia
Myöhään iltaisin [MASK] yksin soittaa luikauttelen .	minä
[MASK] ei tuijota taivaaseen eikä maahan , vaan ihmispään korkeudelta suoraan eteenpäin .	Hän
Eläinmaailmassa poikkeavasti [MASK] antavat nuorimpien ja pienimpien syödä mahansa täyteen , ja vasta näiden jälkeen isot koirat käyvät ruoan kimppuun	ne
[MASK] lähialueilla ei ole mitenkään sidoksissa Suomen markkinoilla harjoitettavan politiikan kanssa .	Laajentuminen
[MASK] on nykyään tosi tiukalla .	Leipä
[MASK] oli kärsinyt pahasta migreenistä viisi vuotta .	miespotilaani
Aivazovskin [MASK] edustavat romanttista maisemanäkemystä tyypillisimmillään .	maalaukset
Ei [MASK] milloinkaan meiltä ihan tietymättömissä ollut .	se
[MASK] haluaa aina lisää kaikkea , mutta eihän se voi loputtomiin onnistua .	Ihmiset
tänään [MASK] otan vähän löysemmin .	mä
[MASK] varoitti hyväksymästä Venäjää mukaan järjestöön muita löysemmin ehdoin .	Nikula
maaseudulle johtavat [MASK] olivat mustanaan vaiteliaita ihmisiä .	tiet
[MASK] ovat punaisenaan , katso vaikka .	Mättäät
[MASK] valuivat valtoimenaan .	Kyyneleet
[MASK] oli kipeänä .	Isä
auton [MASK] meni ihan tohjoksi .	keula
[MASK] välttää lajityypin kliseitä varsin huolella .	se
Parkanon [MASK] saikin vahvassa humalassa olleen miehen pidätetyksi .	poliisi
Suurella huolella [MASK] ajattelee vammaisia naisia .	Könkkölä
[MASK] saattaa olla harmonisessa sopusoinnussa ympäristön kanssa .	Asutus
puurakentamisessa [MASK] ovat pahasti jälkijunassa keskieurooppalaisiin nähden .	suomalaiset
[MASK] vähän etuajassa 50-vuotispäiviään .	Heinonen
Eikö [MASK] ole mennyt uusiin naimisiin ?	äitisi
[MASK] itkin päivällä ja yöllä .	Mä
Palattuaan työstä kotiin [MASK] lähti ensimmäiseksi kävelylle äitinsä kanssa niin kesällä kuin talvella , sateella ja poudalla .	Margareta
Sitä paitsi [MASK] ja Elisa tarvitsevat vaatelisää , miten he muuten pärjäävät tulevana talvena .	Maiju
[MASK] oli vähän päissään .	Jan
Ehkä [MASK] vain jonakin päivänä tuumivat samppanjan pehmentämissä päissään , että pitäisi keksiä ikään kuin jotakin kivaa .	daamit
[MASK] häiritsi opetusta muutenkin , enimmäkseen kuitenkin aika hyvillä piloillaan .	Pihkala
Pitkä [MASK] nuokkui ajatuksissaan Parkanon kirkonpenkillä viime perjantai-iltana .	mies
[MASK] horjui kaatumaisillaan ja hapuili tukea puista .	Hän
[MASK] on selin poikaan .	Hän
[MASK] olivat täysin allapäin häviöstään .	Kanadalaiset
[MASK] vilkaisi syrjäkarein hollantilaista .	Michel
Aivan omin päin [MASK] eivät toimi .	eläinfysioterapeutit
Tähän asti [MASK] on sujunut täysin ongelmitta .	kaikki
Sitten [MASK] poistui peräkanaa ulko-oven suuntaan .	kolmikko
Todennäköisesti [MASK] sanoi sen ihan piruuttaan .	hän
Viereinen [MASK] veti kalaa jäälle aivan solkenaan .	mies
[MASK] meni kertakaikkisen läskiksi .	kisa
[MASK] pisti täysin ranttaliksi ja hankki ennätysmäärän pelikieltoja .	IFK
[MASK] taas kummastelevat , " mitä se tota jazzia laulaa , sehän on ihan paskaa " .	Toiset
[MASK] on tarhan takana	Koulu
[MASK] on meitä ihan lähellä .	Tuoli
[MASK] asuu hyvin lähellä meitä .	Hän
[MASK] asuu yllättävän lähellä meitä .	Hän
[MASK] on postin lähellä	Kauppa
[MASK] on meitä lähellä	Kauppa
[MASK] istui Mian luona	Hän
[MASK] istui kahden metrin päässä	Hän
